season,month,park,x_cm,z_cm,x_se,z_se,min_raw_cov_eigenvalue,games,pitchers,rows,pitches
2023,9,문학,-2.6085896906821446,3.5927537960143967,0.43794800919582116,0.3272386192824244,-5.513913997462052e-18,10,47,173,2737
2023,9,사직,-0.4211097880583985,-0.5395528148059476,0.5664487963553445,0.36672463683868256,-5.513913997462052e-18,7,37,109,1689
2023,9,수원,10.945753817725873,7.465933549563967,0.5792382849700681,0.4015010830384305,-5.513913997462052e-18,8,42,152,2317
2023,9,잠실,0.0,0.0,0.19999999999999998,0.2,-5.513913997462052e-18,22,90,357,5334
2023,9,창원,6.45413700904566,0.012878356698267979,0.4982720933325845,0.3304533054032995,-5.513913997462052e-18,15,65,216,3532
2023,10,광주,7.160661080807133,2.1304540365304225,0.45306143892683337,0.40944163113152804,-6.497006090945258e-18,7,39,94,1611
2023,10,대전구,17.898682133145392,2.934978961383324,0.7302750658895633,0.45326505281380064,-6.497006090945258e-18,5,26,65,988
2023,10,문학,-2.9802735412335526,3.422071521978742,0.4883697760518549,0.3675144529529764,-6.497006090945258e-18,9,43,154,2215
2023,10,사직,-0.28912153863544354,-0.7547703698659773,0.3620747903513689,0.493371214450671,-6.497006090945258e-18,7,38,94,1436
2023,10,수원,10.974507721093152,6.808776841579616,0.4739416818243716,0.6204325263887802,-6.497006090945258e-18,12,44,91,1482
2023,10,잠실,0.0,0.0,0.20000000000000004,0.2,-6.497006090945258e-18,13,56,149,2070
2023,10,창원,6.42524160215077,-0.25626234011421256,0.6312746272410047,0.33623797213182266,-6.497006090945258e-18,8,44,157,2219
2024,3,광주,3.311605840737228,1.3965477895904077,0.6626937282019321,0.5874055296647348,-1.2908627819727099e-17,7,44,116,1535
2024,3,대구,-1.0977943610680794,4.583284990696988,0.7248709542788635,0.563456639159739,-1.2908627819727099e-17,8,48,129,1798
2024,3,대전구,8.45290172863077,4.2365193794549745,0.8275330830059763,0.487964774510751,-1.2908627819727099e-17,10,57,155,1996
2024,3,문학,-11.120367216343322,2.93847534424677,1.3565970898910678,0.4414258648973193,-1.2908627819727099e-17,10,58,174,2353
2024,3,사직,-3.6759954523629297,1.546094058644838,0.7645333267504626,0.4956323379240044,-1.2908627819727099e-17,8,44,123,1741
2024,3,수원,16.869981601028133,8.198205711616055,0.6483325068566799,0.5370048982028245,-1.2908627819727099e-17,10,61,186,2450
2024,3,잠실,0.0,0.0,0.19999999999999998,0.19999999999999996,-1.2908627819727099e-17,11,67,194,2645
2024,3,창원,2.374894444069702,1.0449949974716022,0.6520209298452931,0.5190140209110038,-1.2908627819727099e-17,9,51,147,2030
2024,4,고척,7.933641943444366,11.391649591992845,0.46205126062032464,0.30370215215807844,-2.299660080497502e-18,15,61,233,3632
2024,4,광주,1.8058529217553554,0.37462317527457323,0.38781714670114187,0.3846854193110167,-2.299660080497502e-18,10,52,195,2865
2024,4,대구,0.5809850180637985,4.81966355996057,0.5257067670562321,0.3387486303074136,-2.299660080497502e-18,11,49,179,2777
2024,4,대전구,8.526488656245144,4.092857232480636,0.6613563346967658,0.34574013001662013,-2.299660080497502e-18,12,61,221,3145
2024,4,문학,-5.09315471326744,3.1927558103178324,0.5484169293379368,0.3185870909600469,-2.299660080497502e-18,15,67,246,3217
2024,4,사직,-3.2498750160809564,1.5347094311214828,0.42580692103393164,0.3237791269606137,-2.299660080497502e-18,12,58,196,3006
2024,4,수원,16.615773460468983,9.120936418030036,0.40645512208808565,0.37430289103227754,-2.299660080497502e-18,9,48,149,2345
2024,4,잠실,0.0,0.0,0.2,0.2,-2.299660080497502e-18,25,103,438,6668
2024,4,창원,3.0734770979698354,1.5717840514337613,0.4162140266666616,0.30177892358021413,-2.299660080497502e-18,12,52,205,3210
2024,5,고척,7.912001497383727,11.386375361866593,0.6445978112023241,0.48297352826978324,-7.411553776114332e-18,10,44,167,2502
2024,5,광주,0.8755770913612695,0.6463834208187293,0.6050489804669135,0.40112783298925814,-7.411553776114332e-18,14,56,243,3489
2024,5,대구,-1.619115472744201,4.183886043729028,0.49956629126316593,0.504616617565784,-7.411553776114332e-18,14,61,258,3626
2024,5,대전구,8.385230704599467,4.260275914398435,0.5565457354420433,0.44939884661470836,-7.411553776114332e-18,14,64,242,3484
2024,5,문학,-8.009452768908583,2.163307301485058,1.0589879699234146,0.9027592446717612,-7.411553776114332e-18,9,48,173,2636
2024,5,사직,-3.027219665771109,0.14508784287633425,0.4283838543084007,0.41175165634969535,-7.411553776114332e-18,14,64,241,3434
2024,5,수원,16.35206377690203,8.50068802738521,0.5629461715901302,0.4177673702254667,-7.411553776114332e-18,11,54,196,3031
2024,5,잠실,0.0,0.0,0.2,0.20000000000000004,-7.411553776114332e-18,25,88,402,5785
2024,5,창원,2.2109245551686953,0.41281574275807564,0.5335625420501279,0.47507386386920825,-7.411553776114332e-18,11,50,200,2900
2024,6,고척,11.285022062538266,14.19249072597048,0.3823270653319546,0.4572974798608749,-1.1921191542238537e-17,14,60,220,3116
2024,6,광주,2.4323430100806034,0.6118600058565113,0.645189379203029,0.7100772749986365,-1.1921191542238537e-17,12,54,211,3204
2024,6,대구,-0.6633702758515607,4.307402124643546,0.4652504005954597,0.5310373871195605,-1.1921191542238537e-17,11,50,192,2778
2024,6,대전구,4.851112006322575,4.507776997968237,0.4882669457741017,0.4402850051020973,-1.1921191542238537e-17,9,48,157,2323
2024,6,문학,-6.656913423508437,5.829192254280032,0.5540086851702626,0.5710101405952259,-1.1921191542238537e-17,12,57,218,3158
2024,6,사직,-2.0881214485293143,1.0918567470899623,0.3472873769542425,0.5238594066669572,-1.1921191542238537e-17,12,61,220,3215
2024,6,수원,15.779060510237162,9.39163524586293,0.39144964824085227,0.7670371586981846,-1.1921191542238537e-17,15,64,259,3687
2024,6,잠실,0.0,0.0,0.19999999999999998,0.2,-1.1921191542238537e-17,26,107,424,6341
2024,6,창원,2.7678449018442155,1.8935151743951844,0.3233117499654054,0.49666483256938926,-1.1921191542238537e-17,11,58,210,3056
2024,7,고척,8.592642502246562,13.157265621468568,0.4817160493196575,0.3528824863530723,3.6085173631734045e-18,14,56,214,3356
2024,7,광주,2.947775295877755,3.225683908904408,0.5895499930582218,0.671463214676311,3.6085173631734045e-18,10,48,179,2623
2024,7,대구,-0.32586680532935297,4.401682877897232,0.5771709874885063,0.7342880517945088,3.6085173631734045e-18,11,47,167,2629
2024,7,대전구,5.543687963923785,5.270948585570422,0.6389295976277996,0.47213670986025347,3.6085173631734045e-18,11,48,192,2716
2024,7,문학,-9.79678872515675,6.078354689147587,0.6478982841641795,0.4674006287314986,3.6085173631734045e-18,11,54,170,2505
2024,7,수원,14.702585986614041,9.552106259783795,0.5054267964077974,0.5342945900653253,3.6085173631734045e-18,8,49,150,2223
2024,7,잠실,0.0,0.0,0.19999999999999993,0.19999999999999996,3.6085173631734045e-18,17,85,308,4393
2024,7,창원,3.145196656724247,2.8519144266561387,0.6356342679924255,0.5331673631427329,3.6085173631734045e-18,9,44,145,2167
2024,8,고척,6.805787667366371,12.860031853840583,0.4884844315179737,0.545992192778534,-2.4059714958868606e-17,14,65,224,3482
2024,8,광주,3.886826553788076,4.0202011378662466,0.38861253215990793,0.961157213119001,-2.4059714958868606e-17,11,51,209,3040
2024,8,대구,1.2251888813859182,1.7466369823661205,0.5026571127675946,0.5616943564105433,-2.4059714958868606e-17,13,63,212,3001
2024,8,대전구,6.277560313878732,6.467674277732414,0.6621982783557578,0.5028972214735423,-2.4059714958868606e-17,9,44,157,2160
