park,x_cm,z_cm,season,month
잠실,0.0,0.0,2024,7
창원,3.1451966567242473,2.8519144266561383,2024,7
고척,6.805787667366361,12.860031853840576,2024,8
광주,3.886826553788064,4.020201137866245,2024,8
대구,1.2251888813859138,1.7466369823661179,2024,8
대전구,6.277560313878726,6.467674277732393,2024,8
문학,-11.505189427251306,7.293787670565208,2024,8
사직,-1.6240538025928841,1.2430510125932277,2024,8
수원,14.71889905601223,8.683593190577515,2024,8
잠실,0.0,0.0,2024,8
창원,3.3819045761188993,2.4403414850801792,2024,8
광주,4.15328195226871,5.460376571346101,2024,9
대구,-1.3387071155271042,2.12742727004491,2024,9
대전구,5.112627442752009,6.362487545362013,2024,9
문학,-11.413447677403632,10.159530477865133,2024,9
사직,-0.6781963901031243,1.6228322790853156,2024,9
수원,13.665696614726563,11.73756159172272,2024,9
잠실,0.0,0.0,2024,9
창원,3.0738418831517795,4.874189440830185,2024,9
고척,7.206042317050059,11.74197041675442,2025,3
광주,2.6607800508108386,2.369277425366454,2025,3
대구,-5.3160863252111135,1.078275497121297,2025,3
문학,-7.923366122985136,7.763640696925805,2025,3
사직,-1.5742560375333055,0.7397796433763921,2025,3
수원,9.831289057774336,11.273782958540476,2025,3
잠실,0.0,0.0,2025,3
창원,-6.895519412158869,2.8559311507996665,2025,3
고척,4.919663319218802,7.082652390585357,2025,4
광주,5.773613337594588,-0.13363362824352554,2025,4
대구,-4.519601374897887,-1.192322792566679,2025,4
대전신,2.1049946567430826,-2.1785283556123813,2025,4
문학,-10.985108267472238,3.7639309142296,2025,4
사직,-1.8795239133198862,-6.510078816097481,2025,4
수원,11.067086782913938,7.595768771041556,2025,4
잠실,0.0,0.0,2025,4
고척,5.429405730490203,9.846081255724052,2025,5
광주,1.2767169674341368,2.483831510856266,2025,5
대구,-5.225362032884212,0.09579172997271712,2025,5
대전신,0.5908874516951884,-0.5695321611956707,2025,5
문학,-15.298006459232951,3.8983999292998064,2025,5
사직,-1.3269355304590038,-7.01608365324778,2025,5
수원,18.73292402915551,4.048826214552797,2025,5
잠실,0.0,0.0,2025,5
